2,    3,    3,    7,    5,    9,    6,    8,    9,    3,    5,    7,    7,    
3,    5,    4,    9,    8,    6,    1,    9,    3,    5,    2,    1,    7,    
1,    10,    4,    8,    9,    6,    8,    6,    8,    4,    3,    8,    4,    
6,    3,    0,    8,    3,    7,    7,    2,    6,    8,    7,    3,    4,    
2,    5,    5,    5,    5,    7,    3,    1,    5,    9,    1,    9,    9,    
4,    3,    8,    8,    2,    8,    3,    7,    6,    3,    3,    1,    2,    
6,    9,    9,    6,    2,    5,    10,    9,    5,    3,    7,    1,    9,    
5,    6,    8,    10,    3,    7,    5,    7,    6,    5,    6,    10,    2,    
7,    4,    7,    7,    3,    7,    5,    5,    10,    5,    9,    5,    2,    
10,    8,    10,    2,    7,    9,    8,    7,    9,    3,    6,    6,    10,
